2010 Rank|Name|Government|Population (2010 census)[2]|Population (2020 census)[3]|Change|Main County|Other Counties|
628|Arcola|city|1,642|2,034|+23.87%|Fort Bend||
428|Argyle|city|3,282|4,403|+34.16%|Denton||
7|Arlington|city|365,438|394,266|+7.89%|Tarrant||
806|Arp|city|970|892|−8.04%|Smith||
761|Asherton|city|1,084|722|−33.39%|Dimmit||
819|Aspermont|town|919|789|−14.15%|Stonewall||
184|Athens|city|12,710|12,857|+1.16%|Henderson||
305|Atlanta|city|5,675|5,433|−4.26%|Cass||
500|Aubrey|city|2,595|5,006|+92.91%|Denton||
722|Aurora|city|1,220|1,390|+13.93%|Wise||
4|Austin|city|790,390|961,855|+21.69%|Travis|Williamson,Hays|
1174|Austwell|city|147|118|−19.73%|Refugio||
984|Avery|town|482|421|−12.66%|Red River||
1004|Avinger|town|444|371|−16.44%|Cass||
204|Azle|city|10,947|13,369|+22.12%|Tarrant|Parker|
1101|Bailey|city|289|220|−23.88%|Fannin||
883|Bailey's Prairie|village|727|775|+6.60%|Brazoria||
657|Baird|city|1,496|1,479|−1.14%|Callahan||
113|Balch Springs|city|23,728|27,685|+16.68%|Dallas||
462|Balcones Heights|city|2,941|2,746|−6.63%|Bexar||
398|Ballinger|city|3,767|3,619|−3.93%|Runnels||
987|Balmorhea|city|479|408|−14.82%|Reeves||
831|Bandera|city|857|829|−3.27%|Bandera||
635|Bangs|city|1,603|1,540|−3.93%|Brown||
905|Bardwell|city|649|625|−3.70%|Ellis||
1127|Barry|city|242|220|−9.09%|Navarro||
1057|Barstow|city|349|265|−24.07%|Ward||
631|Bartlett|city|1,623|1,633|+0.62%|Williamson|Bell|
667|Bartonville|town|1,469|1,725|+17.43%|Denton||
260|Bastrop|city|7,218|9,688|+34.22%|Bastrop||
140|Bay City|city|17,614|18,061|+2.54%|Matagorda||
648|Bayou Vista|city|1,537|1,763|+14.70%|Galveston||
1077|Bayside|town|325|275|−15.38%|Refugio||
45|Baytown|city|71,802|83,701|+16.57%|Harris|Chambers|
1038|Bayview|town|383|475|+24.02%|Cameron||
546|Beach City|city|2,198|3,221|+46.54%|Chambers||
1039|Bear Creek|village|382|397|+3.93%|Hays||
910|Beasley|city|641|608|−5.15%|Fort Bend||
24|Beaumont|city|118,296|115,282|−2.55%|Jefferson||
835|Beckville|city|847|722|−14.76%|Panola||
63|Bedford|city|46,979|49,928|+6.28%|Tarrant||
1007|Bedias|city|443|361|−18.51%|Grimes||
387|Bee Cave|city|3,925|9,144|+132.97%|Travis||
182|Beeville|city|12,863|13,669|+6.27%|Bee||
144|Bellaire|city|16,855|17,202|+2.06%|Harris||
1050|Bellevue|city|362|289|−20.17%|Clay||
218|Bellmead|city|9,901|10,494|+5.99%|McLennan||
683|Bells|town|1,392|1,521|+9.27%|Grayson||
380|Bellville|city|4,097|4,206|+2.66%|Austin||
134|Belton|city|18,216|23,054|+26.56%|Bell||
694|Benavides|city|1,362|1,183|−13.14%|Duval||
121|Benbrook|city|21,234|24,520|+15.48%|Tarrant||
1118|Benjamin|city|258|196|−24.03%|Knox||
804|Berryville|town|975|824|−15.49%|Henderson||
696|Bertram|city|1,353|1,616|+19.44%|Burnet||
575|Beverly Hills|city|1,995|1,878|−5.86%|McLennan||
713|Bevil Oaks|city|1,274|1,089|−14.52%|Jefferson||
463|Big Lake|city|2,936|2,965|+0.99%|Reagan||
697|Big Sandy|town|1,343|1,231|−8.34%|Upshur||
98|Big Spring|city|27,282|26,144|−4.17%|Howard||
894|Big Wells|city|697|483|−30.70%|Dimmit||
440|Bishop|city|3,134|3,174|+1.28%|Nueces||
1158|Bishop Hills|town|193|211|+9.33%|Potter||
1086|Blackwell|city|311|258|−17.04%|Nolan|Coke|
612|Blanco|city|1,739|1,682|−3.28%|Blanco||
1032|Blanket|town|390|369|−5.38%|Brown||
1024|Bloomburg|town|404|321|−20.54%|Cass||
846|Blooming Grove|town|821|857|+4.38%|Navarro||
658|Blossom|city|1,494|1,402|−6.16%|Lamar||
526|Blue Mound|city|2,394|2,393|−0.04%|Tarrant||
844|Blue Ridge|city|822|1,180|+43.55%|Collin||
1004|Blum|town|444|383|−13.74%|Hill||
214|Boerne|city|10,471|17,850|+70.47%|Kendall||
742|Bogata|city|1,153|1,074|−6.85%|Red River||
217|Bonham|city|10,127|10,408|+2.77%|Fannin||
1089|Bonney|village|310|180|−41.94%|Brazoria||
653|Booker|town|1,516|1,437|−5.21%|Lipscomb|Ochiltree|
177|Borger|city|13,251|12,551|−5.28%|Hutchinson||
595|Bovina|city|1,868|1,699|−9.05%|Parmer||
327|Bowie|city|5,218|5,448|+4.41%|Montague||
724|Boyd|town|1,207|1,416|+17.32%|Wise||
621|Brackettville|city|1,688|1,341|−20.56%|Kinney||
316|Brady|city|5,528|5,118|−7.42%|McCulloch||
458|Brazoria|city|3,019|2,866|−5.07%|Brazoria||
995|Brazos Country|city|469|514|+9.59%|Austin||
302|Breckenridge|city|5,780|5,187|−10.26%|Stephens||
816|Bremond|city|929|858|−7.64%|Robertson||
154|Brenham|city|15,716|17,369|+10.52%|Washington||
672|Briarcliff|village|1,438|2,062|+43.39%|Travis||
977|Briaroaks|city|492|507|+3.05%|Johnson||
246|Bridge City|city|7,840|9,546|+21.76%|Orange||
296|Bridgeport|city|5,976|5,923|−0.89%|Wise||
1144|Broaddus|town|207|184|−11.11%|San Augustine||
793|Bronte|town|999|933|−6.61%|Coke||
350|Brookshire|city|4,702|5,066|+7.74%|Waller||
650|Brookside Village|city|1,523|1,548|+1.64%|Brazoria||
1157|Browndell|city|197|160|−18.78%|Jasper||
220|Brownfield|city|9,657|8,936|−7.47%|Terry||
779|Brownsboro|city|1,039|1,212|+16.65%|Henderson||
16|Brownsville|city|175,023|186,738|+6.69%|Cameron||
125|Brownwood|city|19,288|18,862|−2.21%|Brown||
665|Bruceville-Eddy|city|1,475|1,413|−4.20%|McLennan|Falls|
44|Bryan|city|76,201|83,980|+10.21%|Brazos||
948|Bryson|city|539|430|−20.22%|Jack||
957|Buckholts|town|515|365|−29.13%|Milam||
256|Buda|city|7,295|15,108|+107.10%|Hays||
597|Buffalo|city|1,856|1,767|−4.80%|Leon||
996|Buffalo Gap|town|464|543|+17.03%|Taylor||
999|Buffalo Springs|village|453|468|+3.31%|Lubbock||
518|Bullard|town|2,463|3,318|+34.71%|Smith|Cherokee|
355|Bulverde|city|4,630|5,692|+22.94%|Comal||
407|Bunker Hill Village|city|3,633|3,822|+5.20%|Harris||
207|Burkburnett|city|10,811|10,939|+1.18%|Wichita||
877|Burke|city|737|691|−6.24%|Angelina||
78|Burleson|city|36,690|47,641|+29.85%|Johnson|Tarrant|
294|Burnet|city|5,987|6,436|+7.50%|Burnet||
1097|Burton|city|300|297|−1.00%|Washington||
973|Byers|city|496|454|−8.47%|Clay||
1154|Bynum|town|199|171|−14.07%|Hill||
435|Cactus|city|3,179|3,057|−3.84%|Moore||
698|Caddo Mills|city|1,338|1,495|+11.73%|Hunt||
379|Caldwell|city|4,104|3,993|−2.70%|Burleson||
1054|Callisburg|city|353|321|−9.07%|Cooke||
730|Calvert|city|1,192|962|−19.30%|Robertson||
312|Cameron|city|5,552|5,306|−4.43%|Milam||
912|Campbell|city|638|542|−15.05%|Hunt||
892|Camp Wood|city|706|517|−26.77%|Real||
492|Canadian|city|2,649|2,339|−11.70%|Hemphill||
1138|Caney City|town|217|187|−13.82%|Henderson||
409|Canton|city|3,581|4,229|+18.10%|Van Zandt||
176|Canyon|city|13,303|14,836|+11.52%|Randall||
1108|Carbon|town|272|281|+3.31%|Eastland||
1166|Carl's Corner|town|173|201|+16.18%|Hill||
1123|Carmine|city|250|244|−2.40%|Fayette|Washington|
323|Carrizo Springs|city|5,368|4,892|−8.87%|Dimmit||
23|Carrollton|city|119,097|133,434|+12.04%|Dallas|Denton,Collin|
272|Carthage|city|6,779|6,569|−3.10%|Panola||
1058|Cashion Community|city|348|286|−17.82%|Wichita||
378|Castle Hills|city|4,116|3,978|−3.35%|Bexar||
487|Castroville|city|2,680|2,954|+10.22%|Medina||
67|Cedar Hill|city|45,028|49,148|+9.15%|Dallas|Ellis|
60|Cedar Park|city|48,937|77,595|+58.56%|Williamson|Travis|
850|Celeste|city|814|809|−0.61%|Hunt||
292|Celina|city|6,028|16,739|+177.69%|Collin|Denton|
328|Center|city|5,193|5,221|+0.54%|Shelby||
821|Centerville|city|892|905|+1.46%|Leon||
482|Chandler|city|2,734|3,275|+19.79%|Henderson||
1049|Channing|city|363|281|−22.59%|Hartley||
614|Charlotte|city|1,715|1,524|−11.14%|Atascosa||
1084|Chester|town|312|270|−13.46%|Tyler||
791|Chico|city|1,002|946|−5.59%|Wise||
288|Childress|city|6,105|5,737|−6.03%|Childress||
891|Chillicothe|city|707|549|−22.35%|Hardeman||
738|China|city|1,160|1,260|+8.62%|Jefferson||
734|China Grove|town|1,179|1,141|−3.22%|Bexar||
1035|Chireno|city|386|370|−4.15%|Nacogdoches||
1032|Christine|town|390|337|−13.59%|Atascosa||
159|Cibolo|city|15,349|32,276|+110.28%|Guadalupe||
389|Cisco|city|3,899|3,883|−0.41%|Eastland||
569|Clarendon|city|2,026|1,877|−7.35%|Donley||
426|Clarksville|city|3,285|2,857|−13.03%|Red River||
829|Clarksville City|city|865|780|−9.83%|Gregg|Upshur|
728|Claude|city|1,196|1,186|−0.84%|Armstrong||
770|Clear Lake Shores|city|1,063|1,258|+18.34%|Galveston||
95|Cleburne|city|29,337|31,352|+6.87%|Johnson||
248|Cleveland|city|7,675|7,471|−2.66%|Liberty||
418|Clifton|city|3,442|3,465|+0.67%|Bosque||
817|Clint|town|926|923|−0.32%|El Paso||
199|Clute|city|11,211|10,604|−5.41%|Brazoria||
400|Clyde|city|3,713|3,811|+2.64%|Callahan||
849|Coahoma|town|817|945|+15.67%|Howard||
373|Cockrell Hill|city|4,193|3,815|−9.02%|Dallas||
1106|Coffee City|town|278|249|−10.43%|Henderson||
833|Coldspring|city|853|819|−3.99%|San Jacinto||
349|Coleman|city|4,709|3,912|−16.93%|Coleman||
35|College Station|city|93,857|120,511|+28.40%|Brazos||
117|Colleyville|city|22,807|26,057|+14.25%|Tarrant||
630|Collinsville|town|1,624|1,866|+14.90%|Grayson||
929|Colmesneil|city|596|542|−9.06%|Tyler||
376|Colorado City|city|4,146|3,991|−3.74%|Mitchell||
404|Columbus|city|3,655|3,699|+1.20%|Colorado||
370|Comanche|city|4,335|4,211|−2.86%|Comanche||
464|Combes|town|2,895|2,999|+3.59%|Cameron||
585|Combine|city|1,942|2,245|+15.60%|Kaufman|Dallas|
241|Commerce|city|8,078|9,090|+12.53%|Hunt||
893|Como|town|702|728|+3.70%|Hopkins||
55|Conroe|city|56,207|89,956|+60.04%|Montgomery||
135|Converse|city|18,198|27,466|+50.93%|Bexar||
1171|Cool|city|157|211|+34.39%|Parker||
812|Coolidge|town|955|778|−18.53%|Limestone||
580|Cooper|city|1,969|1,911|−2.95%|Delta||
72|Coppell|city|38,659|42,983|+11.18%|Dallas|Denton|
89|Copperas Cove|city|32,032|36,670|+14.48%|Coryell|Bell,Lampasas|
700|Copper Canyon|town|1,334|1,731|+29.76%|Denton||
123|Corinth|city|19,935|22,634|+13.54%|Denton||
8|Corpus Christi|city|305,215|317,863|+4.14%|Nueces|San Patricio,Aransas,Kleberg|
636|Corrigan|town|1,595|1,477|−7.40%|Polk||
112|Corsicana|city|23,770|25,109|+5.63%|Navarro||
1160|Cottonwood|city|185|181|−2.16%|Kaufman||
749|Cottonwood Shores|city|1,123|1,403|+24.93%|Burnet||
408|Cotulla|city|3,603|3,718|+3.19%|La Salle||
|Coupland|city||289||Williamson||
960|Cove|city|510|525|+2.94%|Chambers||
1111|Covington|city|269|261|−2.97%|Hill||
|Coyote Flats|city||345||Johnson||
468|Crandall|city|2,858|3,860|+35.06%|Kaufman||
422|Crane|city|3,353|4,675|+39.43%|Crane||
1105|Cranfills Gap|city|281|277|−1.42%|Bosque|
886|Crawford|town|717|887|+23.71%|McLennan||
1150|Creedmoor|city|202|458|+126.73%|Travis||
875|Cresson|city|741|1,349|+82.05%|Parker|Hood,Johnson|
267|Crockett|city|6,950|6,332|−8.89%|Houston||
611|Crosbyton|city|1,741|1,492|−14.30%|Crosby||
803|Cross Plains|town|982|899|−8.45%|Callahan||
642|Cross Roads|town|1,563|1,744|+11.58%|Denton||
1113|Cross Timber|town|268|362|+35.07%|Johnson||
813|Crowell|city|948|769|−18.88%|Foard||
183|Crowley|city|12,838|18,070|+40.75%|Tarrant|Johnson|
261|Crystal City|city|7,138|6,354|−10.98%|Zavala||
270|Cuero|city|6,841|8,128|+18.81%|DeWitt||
865|Cumby|city|777|679|−12.61%|Hopkins||
1177|Cuney|town|140|116|−17.14%|Cherokee||
920|Cushing|city|612|557|−8.99%|Nacogdoches||
765|Cut and Shoot|city|1,070|1,087|+1.59%|Montgomery||
505|Daingerfield|city|2,560|2,522|−1.48%|Morris||
810|Daisetta|city|966|923|−4.45%|Liberty||
245|Dalhart|city|7,930|8,447|+6.52%|Dallam|Hartley|
3|Dallas|city|1,197,816|1,304,379|+8.90%|Dallas|Rockwall,Kaufman,Denton,Collin|
536|Dalworthington Gardens|city|2,259|2,293|+1.51%|Tarrant||
614|Danbury|city|1,715|1,671|−2.57%|Brazoria||
1056|Darrouzett|town|350|309|−11.71%|Lipscomb||
854|Dawson|town|807|815|+0.99%|Navarro||
258|Dayton|city|7,242|8,777|+21.20%|Liberty||
1200|Dayton Lakes|city|93|45|−51.61%|Liberty||
976|Dean|city|493|488|−1.01%|Clay||
290|Decatur|city|6,042|6,538|+8.21%|Wise||
486|DeCordova|city|2,683|3,007|+12.08%|Hood||
91|Deer Park|city|32,010|34,495|+7.76%|Harris||
618|De Kalb|city|1,699|1,527|−10.12%|Bowie||
539|De Leon|city|2,246|2,258|+0.53%|Comanche||
1048|Dell City|city|365|245|−32.88%|Hudspeth||
84|Del Rio|city|35,591|34,673|−2.58%|Val Verde||
118|Denison|city|22,682|24,479|+7.92%|Grayson||
27|Denton|city|113,383|139,869|+23.36%|Denton||
362|Denver City|town|4,479|4,470|−0.20%|Yoakum|Gaines|
937|Deport|city|578|550|−4.84%|Lamar|Red River|
59|DeSoto|city|49,047|56,145|+14.47%|Dallas||
879|Detroit|town|732|704|−3.83%|Red River||
1002|Devers|city|447|361|−19.24%|Liberty||
369|Devine|city|4,350|4,324|−0.60%|Medina||
346|Diboll|city|4,776|4,457|−6.68%|Angelina||
1102|Dickens|city|286|219|−23.43%|Dickens||
129|Dickinson|city|18,680|20,847|+11.60%|Galveston||
390|Dilley|city|3,894|3,274|−15.92%|Frio||
367|Dimmitt|city|4,393|4,171|−5.05%|Castro||
1151|DISH|town|201|437|+117.41%|Denton||
1045|Dodd City|town|369|369|0.00%|Fannin||
1189|Dodson|town|109|93|−14.68%|Collingsworth||
1200|Domino|town|93|71|−23.66%|Cass||
151|Donna|city|15,798|16,797|+6.32%|Hidalgo||
1173|Dorchester|city|148|69|−53.38%|Grayson||
467|Double Oak|town|2,867|3,054|+6.52%|Denton||
1132|Douglassville|town|229|211|−7.86%|Cass||
1209|Draper|town|27|33|+22.22%|Denton||
605|Dripping Springs|city|1,788|4,650|+160.07%|Hays||
876|Driscoll|city|739|680|−7.98%|Nueces||
405|Dublin|city|3,654|3,359|−8.07%|Erath||
167|Dumas|city|14,691|14,501|−1.29%|Moore||
74|Duncanville|city|38,524|40,706|+5.66%|Dallas||
406|Eagle Lake|city|3,639|3,442|−5.41%|Colorado||
103|Eagle Pass|city|26,248|28,130|+7.17%|Maverick||
480|Early|city|2,762|3,087|+11.77%|Brown||
768|Earth|city|1,065|901|−15.40%|Lamb||
535|East Bernard|city|2,272|2,218|−2.38%|Wharton||
386|Eastland|city|3,960|3,609|−8.86%|Eastland||
858|East Mountain|city|797|899|+12.80%|Upshur|Gregg|
960|Easton|city|510|499|−2.16%|Gregg|Rusk|
827|East Tawakoni|city|883|824|−6.68%|Rains||
895|Ector|city|695|737|+6.04%|Fannin||
437|Edcouch|city|3,161|2,732|−13.57%|Hidalgo||
479|Eden|city|2,766|1,100|−60.23%|Concho||
477|Edgecliff Village|town|2,776|3,788|+36.46%|Tarrant||
671|Edgewood|town|1,441|1,530|+6.18%|Van Zandt||
42|Edinburg|city|77,100|100,243|+30.02%|Hidalgo||
1187|Edmonson|town|111|86|−22.52%|Hale||
318|Edna|city|5,499|5,987|+8.87%|Jackson||
1044|Edom|city|375|339|−9.60%|Van Zandt||
194|El Campo|city|11,602|12,350|+6.45%|Wharton||
429|El Cenizo|city|3,273|2,540|−22.40%|Webb||
583|Eldorado|city|1,951|1,574|−19.32%|Schleicher||
475|Electra|city|2,791|2,292|−17.88%|Wichita||
240|Elgin|city|8,135|9,784|+20.27%|Bastrop|Travis|
690|Elkhart|town|1,371|1,287|−6.13%|Anderson||
484|El Lago|city|2,706|3,090|+14.19%|Harris||
|Ellinger|city||285||Fayette||
662|Elmendorf|city|1,488|1,862|+25.13%|Bexar|Wilson|
6|El Paso|city|649,121|678,815|+4.57%|El Paso||
309|Elsa|city|5,660|5,668|+0.14%|Hidalgo||
1182|Emhouse|town|133|187|+40.60%|Navarro||
718|Emory|city|1,239|1,251|+0.97%|Rains||
1076|Enchanted Oaks|town|326|347|+6.44%|Henderson||
944|Encinal|city|559|540|−3.40%|La Salle||
132|Ennis|city|18,513|20,159|+8.89%|Ellis||
731|Escobares|city|1,188|2,588|+117.85%|Starr||
1175|Estelline|town|145|121|−16.55%|Hall||
58|Euless|city|51,277|61,032|+19.02%|Tarrant||
1091|Eureka|city|307|313|+1.95%|Navarro||
798|Eustace|city|991|1,137|+14.73%|Henderson||
1014|Evant|town|426|455|+6.81%|Coryell|Hamilton|
286|Everman|city|6,108|6,154|+0.75%|Tarrant||
868|Fairchilds|village|763|864|+13.24%|Fort Bend||
461|Fairfield|city|2,951|2,850|−3.42%|Freestone||
295|Fair Oaks Ranch|city|5,986|9,833|+64.27%|Bexar|Comal,Kendall|
257|Fairview|town|7,248|10,372|+43.10%|Collin||
337|Falfurrias|city|4,981|4,609|−7.47%|Brooks||
922|Falls City|city|611|514|−15.88%|Karnes||
96|Farmers Branch|city|28,616|35,991|+25.77%|Dallas||
424|Farmersville|city|3,301|10,397|+214.97%|Collin||
693|Farwell|city|1,363|1,425|+4.55%|Parmer||
283|Fate|city|6,357|17,958|+182.49%|Rockwall||
1118|Fayetteville|city|258|246|−4.65%|Fayette||
523|Ferris|city|2,436|2,788|+14.45%|Ellis|Dallas|
685|Flatonia|town|1,383|1,308|−5.42%|Fayette||
745|Florence|city|1,136|1,171|+3.08%|Williamson||
279|Floresville|city|6,448|7,203|+11.71%|Wilson||
50|Flower Mound|town|64,669|75,956|+17.45%|Denton|Tarrant|
453|Floydada|city|3,038|2,675|−11.95%|Floyd||
998|Follett|city|459|373|−18.74%|Lipscomb||
186|Forest Hill|city|12,355|13,955|+12.95%|Tarrant||
168|Forney|city|14,661|23,455|+59.98%|Kaufman||
1141|Forsan|city|210|225|+7.14%|Howard||
237|Fort Stockton|city|8,283|8,466|+2.21%|Pecos||
5|Fort Worth|city|741,206|918,915|+23.98%|Tarrant|Denton,Parker,Wise|
641|Franklin|city|1,564|1,614|+3.20%|Robertson||
719|Frankston|town|1,229|1,126|−8.38%|Anderson||
212|Fredericksburg|city|10,530|10,875|+3.28%|Gillespie||
190|Freeport|city|12,049|10,696|−11.23%|Brazoria||
471|Freer|city|2,818|2,461|−12.67%|Duval||
82|Friendswood|city|35,805|41,213|+15.10%|Galveston|Harris|
377|Friona|city|4,123|4,171|+1.16%|Parmer||
26|Frisco|city|116,989|200,509|+71.39%|Collin|Denton|
558|Fritch|city|2,117|1,859|−12.19%|Hutchinson|Moore|
908|Frost|city|643|620|−3.58%|Navarro||
1023|Fruitvale|city|408|476|+16.67%|Van Zandt||
746|Fulshear|city|1,134|16,856|+1,386.42%|Fort Bend||
695|Fulton|town|1,358|1,523|+12.15%|Aransas||
149|Gainesville|city|16,002|17,394|+8.70%|Cooke||
206|Galena Park|city|10,887|10,740|−1.35%|Harris||
1017|Gallatin|city|419|321|−23.39%|Cherokee||
61|Galveston|city|47,743|53,695|+12.47%|Galveston||
573|Ganado|city|2,003|1,975|−1.40%|Jackson||
431|Garden Ridge|city|3,259|4,186|+28.44%|Comal||
12|Garland|city|226,876|246,018|+8.44%|Dallas|Collin|
855|Garrett|town|806|829|+2.85%|Ellis||
820|Garrison|city|895|789|−11.84%|Nacogdoches||
1086|Gary City|town|311|335|+7.72%|Panola||
152|Gatesville|city|15,751|16,135|+2.44%|Coryell||
62|Georgetown|city|47,400|67,176|+41.72%|Williamson||
520|George West|city|2,445|2,171|−11.21%|Live Oak||
771|Gholson|city|1,061|1,250|+17.81%|McLennan||
342|Giddings|city|4,881|4,969|+1.80%|Lee||
341|Gilmer|city|4,905|4,843|−1.26%|Upshur||
280|Gladewater|city|6,441|6,134|−4.77%|Gregg|Upshur|
198|Glenn Heights|city|11,278|15,819|+40.26%|Dallas|Ellis|
521|Glen Rose|city|2,444|2,659|+8.80%|Somervell||
786|Godley|city|1,009|1,450|+43.71%|Johnson||
1120|Goldsmith|city|257|236|−8.17%|Ector||
593|Goldthwaite|city|1,878|1,738|−7.45%|Mills||
588|Goliad|city|1,908|1,620|−15.09%|Goliad||
944|Golinda|city|559|618|+10.55%|Falls|McLennan|
259|Gonzales|city|7,237|7,165|−0.99%|Gonzales||
1153|Goodlow|city|200|178|−11.00%|Navarro||
1109|Goodrich|city|271|248|−8.49%|Polk||
988|Gordon|city|478|470|−1.67%|Palo Pinto||
1146|Goree|city|203|158|−22.17%|Knox||
762|Gorman|city|1,083|976|−9.88%|Eastland||
936|Graford|city|584|669|+14.55%|Palo Pinto||
227|Graham|city|8,903|8,732|−1.92%|Young||
244|Granbury|city|7,978|10,958|+37.35%|Hood||
1051|Grandfalls|town|360|340|−5.56%|Ward||
15|Grand Prairie|city|175,396|196,100|+11.80%|Dallas|Ellis,Tarrant|
439|Grand Saline|city|3,136|3,107|−0.92%|Van Zandt||
643|Grandview|city|1,561|1,879|+20.37%|Johnson||
675|Granger|city|1,419|1,183|−16.63%|Williamson||
340|Granite Shoals|city|4,910|5,129|+4.46%|Burnet||
1100|Granjeno|city|293|283|−3.41%|Hidalgo||
661|Grapeland|city|1,489|1,465|−1.61%|Houston||
65|Grapevine|city|46,334|50,631|+9.27%|Tarrant|Dallas,Denton|
1066|Grays Prairie|village|337|325|−3.56%|Kaufman||
106|Greenville|city|25,557|28,164|+10.20%|Hunt||
590|Gregory|city|1,907|1,740|−8.76%|San Patricio||
982|Grey Forest|city|483|492|+1.86%|Bexar||
371|Groesbeck|city|4,328|3,631|−16.10%|Limestone||
939|Groom|town|574|552|−3.83%|Carson||
147|Groves|city|16,144|17,335|+7.38%|Jefferson||
772|Groveton|city|1,057|918|−13.15%|Trinity||
729|Gruver|city|1,194|1,130|−5.36%|Hansford||
306|Gun Barrel City|city|5,672|6,190|+9.13%|Henderson||
656|Gunter|city|1,498|2,060|+37.52%|Grayson||
989|Gustine|town|476|392|−17.65%|Comanche||
807|Hackberry|town|968|2,973|+207.13%|Denton||
537|Hale Center|city|2,252|2,062|−8.44%|Hale||
508|Hallettsville|city|2,550|2,731|+7.10%|Lavaca||
965|Hallsburg|city|507|419|−17.36%|McLennan||
410|Hallsville|city|3,577|4,277|+19.57%|Harrison||
69|Haltom City|city|42,409|46,073|+8.64%|Tarrant||
445|Hamilton|city|3,095|2,895|−6.46%|Hamilton||
555|Hamlin|city|2,124|1,831|−13.79%|Jones|Fisher|
902|Happy|town|678|602|−11.21%|Swisher|Randall|
848|Hardin|city|819|768|−6.23%|Liberty||
100|Harker Heights|city|26,700|33,097|+23.96%|Bell||
49|Harlingen|city|64,849|71,829|+10.76%|Cameron||
753|Hart|city|1,114|869|−21.99%|Castro||
423|Haskell|city|3,322|3,089|−7.01%|Haskell||
652|Haslet|city|1,517|1,952|+28.68%|Tarrant|Denton|
982|Hawk Cove|city|483|452|−6.42%|Hunt||
712|Hawkins|city|1,278|1,274|−0.31%|Wood||
915|Hawley|city|634|545|−14.04%|Jones||
1138|Hays|city|217|227|+4.61%|Hays||
363|Hearne|city|4,459|4,544|+1.91%|Robertson||
268|Heath|city|6,921|9,769|+41.15%|Rockwall|Kaufman|
1019|Hebron|town|415|803|+93.49%|Denton|Collin|
1074|Hedley|city|329|275|−16.41%|Donley||
506|Hedwig Village|city|2,557|2,370|−7.31%|Harris||
254|Helotes|city|7,341|9,030|+23.01%|Bexar||
727|Hemphill|city|1,198|1,029|−14.11%|Sabine||
303|Hempstead|city|5,770|5,430|−5.89%|Waller||
173|Henderson|city|13,712|13,271|−3.22%|Rusk||
438|Henrietta|city|3,141|3,111|−0.96%|Clay||
158|Hereford|city|15,370|14,972|−2.59%|Deaf Smith||
174|Hewitt|city|13,549|16,026|+18.28%|McLennan||
432|Hickory Creek|town|3,247|4,718|+45.30%|Denton||
686|Hico|city|1,379|1,335|−3.19%|Hamilton||
201|Hidalgo|city|11,198|13,964|+24.70%|Hidalgo||
446|Hideaway|city|3,083|3,201|+3.83%|Smith||
1029|Higgins|city|397|356|−10.33%|Lipscomb||
1011|Highland Haven|city|431|418|−3.02%|Burnet||
233|Highland Park|town|8,564|8,864|+3.50%|Dallas||
